DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-10 10:00:00,1027.0,-1.2,0.0,88.0,10.0,0.6,7.6
2022-01-10 11:00:00,1027.5,-1.2,0.0,88.0,250.0,0.6,5.4
2022-01-10 12:00:00,1027.4,-0.6,0.0,92.0,0.0,0.6,0.0
2022-01-10 13:00:00,1027.7,-0.7,0.0,88.0,0.0,1.1,0.0
2022-01-10 14:00:00,1028.1,-0.1,0.2,92.0,0.0,1.1,0.0
2022-01-10 15:00:00,1029.2,0.5,0.8,92.0,0.0,1.7,0.0
2022-01-10 16:00:00,1029.6,1.0,0.8,92.0,100.0,2.2,5.4
2022-01-10 17:00:00,1030.8,1.8,0.5,93.0,0.0,2.8,0.0
2022-01-10 18:00:00,1031.2,1.7,0.5,89.0,0.0,3.3,0.0
2022-01-10 19:00:00,1031.3,2.3,0.0,89.0,360.0,3.9,7.6
2022-01-10 20:00:00,1030.3,3.3,0.0,89.0,330.0,5.0,5.4
2022-01-10 21:00:00,1029.9,3.3,0.0,82.0,330.0,6.1,5.4
2022-01-10 22:00:00,1029.6,4.0,0.0,80.0,340.0,7.2,7.6
2022-01-10 23:00:00,1029.3,4.3,0.0,82.0,340.0,7.2,5.4
2022-01-11 00:00:00,1028.7,5.1,0.0,83.0,0.0,7.8,0.0
2022-01-11 01:00:00,1029.0,4.4,0.0,89.0,60.0,6.1,5.4
2022-01-11 02:00:00,1028.7,4.4,0.0,89.0,290.0,6.1,5.4
2022-01-11 03:00:00,1027.7,4.4,0.0,92.0,0.0,5.6,0.0
2022-01-11 04:00:00,1027.5,4.4,0.0,96.0,0.0,5.0,0.0
2022-01-11 05:00:00,1027.5,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-11 06:00:00,1027.1,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-11 07:00:00,1027.0,5.0,0.0,96.0,160.0,5.6,5.4
2022-01-11 08:00:00,1027.5,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-11 09:00:00,1027.6,4.4,0.0,92.0,0.0,5.6,0.0
2022-01-11 10:00:00,1027.1,4.4,0.0,92.0,40.0,5.6,7.6
2022-01-11 11:00:00,1027.0,4.4,0.0,96.0,0.0,5.0,0.0
2022-01-11 12:00:00,1027.1,4.4,0.0,92.0,0.0,5.6,0.0
2022-01-11 13:00:00,1026.7,5.1,0.2,93.0,0.0,6.1,0.0
2022-01-11 14:00:00,1026.7,5.1,0.8,93.0,0.0,6.1,0.0
2022-01-11 15:00:00,1026.7,5.1,0.8,93.0,0.0,6.1,0.0
2022-01-11 16:00:00,1026.6,5.1,0.3,93.0,0.0,6.1,0.0
2022-01-11 17:00:00,1026.2,5.6,0.4,93.0,0.0,6.7,0.0
2022-01-11 18:00:00,1026.8,6.1,0.1,93.0,0.0,7.2,0.0
2022-01-11 19:00:00,1026.6,6.8,0.1,90.0,0.0,8.3,0.0
2022-01-11 20:00:00,1025.6,7.2,0.0,89.0,20.0,8.9,5.4
2022-01-11 21:00:00,1025.1,7.2,0.0,86.0,0.0,9.4,0.0
2022-01-11 22:00:00,1024.1,8.4,0.0,86.0,0.0,10.6,0.0
2022-01-11 23:00:00,1023.9,8.4,0.0,86.0,50.0,10.6,5.4
2022-01-12 00:00:00,1023.8,8.4,0.0,86.0,360.0,10.6,5.4
2022-01-12 01:00:00,1023.6,8.4,0.0,86.0,0.0,10.6,0.0
2022-01-12 02:00:00,1023.2,8.4,0.0,80.0,140.0,11.7,14.8
2022-01-12 03:00:00,1022.9,8.3,0.0,77.0,140.0,12.2,14.8
2022-01-12 04:00:00,1022.9,8.4,0.0,80.0,140.0,11.7,14.8
2022-01-12 05:00:00,1022.8,8.4,0.0,72.0,180.0,13.3,18.4
2022-01-12 06:00:00,1023.0,8.4,0.0,72.0,190.0,13.3,11.2
2022-01-12 07:00:00,1023.4,8.3,0.0,74.0,0.0,12.8,0.0
2022-01-12 08:00:00,1023.3,7.8,0.0,77.0,220.0,11.7,14.8
2022-01-12 09:00:00,1023.7,7.8,0.0,77.0,0.0,11.7,0.0
2022-01-12 10:00:00,1023.4,7.8,0.0,77.0,0.0,11.7,0.0
2022-01-12 11:00:00,1023.7,7.8,0.0,77.0,0.0,11.7,0.0
2022-01-12 12:00:00,1023.0,7.8,0.0,80.0,0.0,11.1,0.0
2022-01-12 13:00:00,1022.4,7.2,0.0,86.0,0.0,9.4,0.0
